TF	DF	WORD
454	409	amp
401	388	thi
353	334	new
229	229	via
216	212	2018
204	199	get
204	198	news
198	179	art
197	194	one
184	173	busi
178	173	us
172	166	year
167	161	shop
163	157	day
146	115	fit
145	145	check
144	141	make
143	139	today
143	129	learn
134	125	love
131	130	use
131	126	best
128	117	market
127	124	like
125	124	tech
124	122	look
121	120	ha
120	119	dont
120	115	music
119	116	time
118	115	need
117	117	see
117	107	travel
116	115	latest
116	114	world
114	106	trump
111	109	peopl
111	109	work
110	108	great
110	104	free
109	109	whi
108	107	pleas
103	99	sport
102	100	live
102	99	follow
102	98	health
101	96	go
99	98	take
97	97	onlin
97	95	come
96	92	educ
94	91	find
94	87	video
93	92	join
92	91	know
92	90	week
92	86	product
92	82	sale
91	87	way
91	85	school
90	89	start
89	88	10
88	87	first
87	86	thing
87	85	show
87	80	food
86	79	book
85	82	beauti
85	79	job
83	83	good
83	82	top
82	81	help
81	79	want
80	80	thank
79	75	wa
78	78	technolog
78	75	5
78	74	quot
78	74	game
77	75	monday
77	74	ai
77	73	2
77	72	tip
76	75	right
75	75	hi
75	72	fashion
75	65	think
74	71	women
72	70	success
71	71	read
71	71	onli
70	68	watch
70	68	say
70	66	happi
69	67	becom
69	66	daili
69	64	deal
68	64	innov
67	67	servic
66	65	retail
66	65	event
66	64	cultur
65	65	talk
65	65	readi
65	63	commun
65	63	click
64	62	2017
62	59	well
62	59	keep
62	56	citi
62	56	startup
61	61	photographi
61	60	chang
61	60	student
60	60	next
60	58	care
60	57	life
60	56	plan
60	55	artist
59	59	support
59	58	share
59	57	win
59	54	futur
58	57	trend
58	57	back
57	56	polit
57	56	app
57	55	inspir
57	54	let
56	56	everi
56	52	design
56	51	blog
55	53	children
54	53	1
54	53	compani
54	46	brand
53	53	interest
53	52	could
53	52	januari
53	51	celebr
53	50	ticket
52	52	open
52	50	team
52	50	social
52	48	big
52	44	run
51	48	kid
50	50	gtgt
50	50	mlkday
50	50	king
50	48	3
50	48	photo
48	48	revolut
48	47	buy
48	47	home
48	47	famili
